d1twfa_/e.29.1.2	1419
d1smyd_/e.29.1.2	1392
d1muka_/e.8.1.4	1256
d1u6gc_/a.118.1.2	1146
d1smyc_/e.29.1.1	1119
d1twfb_/e.29.1.1	1094
d1y5ia2/c.81.1.1	1074
d1urja_/e.58.1.1	1028
d1uf2a_/e.28.1.2	967
d1wa5c_/a.118.1.1	937
d1jqna_/c.1.12.3	874
d1qgra_/a.118.1.1	871
d1mswd_/e.8.1.3	863
d2bpta_/a.118.1.0	860
d2btva_/e.28.1.1	845
d2z5ka_/a.118.1.1	840
d1kqfa2/c.81.1.1	817
d2gj4a_/c.87.1.4	803
d1ofda2/c.1.4.1	793
d1r9da_/c.7.1.1	786
d2pgga1/e.8.1.4	765
d1h16a_/c.7.1.1	759
d1kk8a2/c.37.1.9	745
d1jb0a_/f.29.1.1	740
d2b0ta_/c.77.1.2	735
d1oaoc_/e.26.1.3	729
d1ti6a2/c.81.1.1	728
d1l1la_/c.7.1.4	717
d1d8ca_/c.1.13.1	709
d3tewa_/f.11.1.1	701
d1by5a_/f.4.3.3	697
d1r1ha_/d.92.1.4	696
d1w7ja2/c.37.1.9	691
d3bnea1/a.119.1.1	690
d1w27a_/a.127.1.2	690
d1fepa_/f.4.3.3	680
d1g8ka2/c.81.1.1	679
d1bjta_/e.11.1.1	679
d1r6va_/c.41.1.1	671
d1ogya2/c.81.1.1	670
d1uvja_/e.8.1.6	664
d1n62b2/d.133.1.1	663
d1kmoa_/f.4.3.3	661
d3dwba_/d.92.1.0	660
d2o36a_/d.92.1.5	654
d1iv8a2/c.1.8.1	653
d1m1ca_/e.42.1.1	651
d1lkxa_/c.37.1.9	650
d1t6ja_/a.127.1.2	647
d1v97a5/d.133.1.1	638
d1rm6a2/d.133.1.1	636
d1su8a_/e.26.1.2	633
d1pg4a_/e.23.1.1	633
d2b3ya2/c.83.1.1	629
d1g9ga_/a.102.1.2	629
d1t3qb2/d.133.1.1	621
d1i7da_/e.10.1.1	620
d2a3la1/c.1.9.1	616
d1eu1a2/c.81.1.1	612
d2vgla_/a.118.1.10	600
d2x97a_/d.92.1.5	598
d3d0ga_/d.92.1.5	597
d2jioa2/c.81.1.1	597
d1vlba4/d.133.1.1	597
d1w6sa_/b.70.1.1	595
d1qhba_/a.111.1.2	595
d1s48a_/e.8.1.4	588
d1mqsa_/e.25.1.1	588
d1b3ua_/a.118.1.2	588
d1flga_/b.70.1.1	582
d2guma1/e.76.1.1	576
d1p2za1/b.121.2.2	575
d1vnsa_/a.111.1.3	574
d1kb0a2/b.70.1.1	573
d1gjwa2/c.1.8.1	572
d2jkrb_/a.118.1.10	571
d1p80a2/e.5.1.1	571
d2iv2x2/c.81.1.1	564
d2fhfa5/c.1.8.1	563
d3pwta_/e.10.1.1	562
d3hkwa_/e.8.1.4	561
d1hk8a_/c.7.1.3	561
d1gqia1/c.1.8.10	561
d7reqa1/c.1.19.1	557
d2cxna_/c.80.1.2	557
d3c98a_/e.25.1.1	556
d3bixa_/c.69.1.0	555
d2vfna_/b.80.1.6	555
d1qi9a_/a.111.1.2	555
d1uwka_/e.51.1.1	554
d1g5aa2/c.1.8.1	554
d2p0ma1/a.119.1.2	551
d2gufa_/f.4.3.3	551
d2f48a_/c.89.1.1	551
d1eexa_/c.1.19.3	551
d1p49a_/c.76.1.2	548
d1c8da_/b.121.5.2	548
d1ehka_/f.24.1.1	544
d3do6a_/c.37.1.0	543
d1oa0a_/e.26.1.1	543
d1no7a_/e.48.1.1	542
d2wapa_/c.117.1.1	541
d2vk9a1/c.68.1.22	540
d2d1sa_/e.23.1.1	539
d1ohfa_/b.121.4.8	539
d1daba_/b.80.1.7	539
d3ss1a_/c.68.1.0	537
d1dx4a_/c.69.1.1	537
d1mdba_/e.23.1.1	536
d1vr5a1/c.94.1.1	535
d1wuil_/e.18.1.1	534
d1llfa_/c.69.1.17	534
d2nlza1/d.153.1.6	533
d1n7va_/b.126.1.1	533
d2h7ca_/c.69.1.1	532
d2bcea_/c.69.1.1	532
d2b1ea_/a.118.17.2	532
d1gkub3/e.10.1.1	532
d1ea5a_/c.69.1.1	532
d1epwa3/d.92.1.7	530
d1yova_/c.111.1.2	529
d1acoa2/c.83.1.1	527
d1rlra2/c.7.1.2	525
d1mioa_/c.92.2.3	525
d1hdha_/c.76.1.2	525
d1x1na1/c.1.8.1	523
d1s58a_/b.121.5.2	523
d3u7qb_/c.92.2.3	522
d3bvua2/b.30.5.6	522
d1ih7a2/e.8.1.1	522
d2qa0a_/b.121.5.2	519
d1ukca_/c.69.1.17	517
d1jeta_/c.94.1.1	517
d1i7qa_/d.161.1.1	517
d2bjka_/c.82.1.1	516
d1xrsa_/c.1.19.4	516
d1v0ea1/b.68.1.2	516
d3ag3a_/f.24.1.1	514
d1dqua_/c.1.12.7	513
d1peqa2/c.7.1.2	512
d1mtyd_/a.25.1.2	512
d1q4ga1/a.93.1.2	511
d1dl2a_/a.102.2.1	510
d3hoaa_/d.92.1.0	509
d1y5ib_/d.58.1.5	509
d1v7wa1/a.102.1.4	509
d1kl7a_/c.79.1.1	509
d1amua_/e.23.1.1	509
d1jdha_/a.118.1.1	508
d3tpaa_/c.94.1.0	507
d3cgha1/a.118.8.6	507
d2jg0a_/a.102.1.9	507
d2a65a1/f.54.1.1	507
d1va6a_/d.128.1.4	507
d1ut9a1/a.102.1.2	507
d1gkma_/a.127.1.2	507
d3arcb_/f.55.1.1	504
d2i3oa1/d.153.1.6	504
d1xoca1/c.94.1.1	504
d1ez0a_/c.82.1.1	504
d1cjya2/c.19.1.2	504
d3cw9a_/e.23.1.1	503
d2cfua2/d.157.1.13	502
d3ckca_/a.118.8.6	501
d1ffta_/f.24.1.1	501
d2i7xa1/d.157.1.10	499
d2cvca1/a.138.1.1	499
d1ky8a_/c.82.1.1	499
d1fgja_/a.138.1.3	499
d1e4mm_/c.1.8.4	499
d1k8ta_/e.41.1.1	498
d1gwea_/e.5.1.1	498
d1k9xa_/d.92.1.5	497
d2nooa_/c.94.1.1	496
d1o04a_/c.82.1.1	494
d1h3na3/c.26.1.1	494
d1wdpa_/c.1.8.1	493
d1khva_/e.8.1.4	493
d2fbaa_/a.102.1.1	492
d1ihma_/b.121.4.3	492
d3ge3a_/a.25.1.2	491
d2xq1a_/e.5.1.1	491
d1v25a_/e.23.1.1	491
